,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
25820,35895,5974,40,11228,1,0,1967,1410,1925,1,965000
25821,35897,5984,53,11228,1,0,2000,1421,1925,1,860000
25822,35898,5992,62,11228,1,0,2500,1464,1925,1,945000
25823,35902,6001,28,11228,1,0,2000,1648,1925,1,425000
25824,35903,6001,34,11228,1,0,2100,1584,1925,1,1300000
25825,35905,6002,51,11228,1,0,2000,2035,1925,1,920000
25826,35906,6011,50,11228,1,0,3000,1476,1925,1,1290000
25827,35907,6012,37,11228,1,0,10000,2792,1920,1,3150000
25828,35908,6022,3,11228,1,0,2000,1312,1925,1,770000
25829,35909,6029,12,11228,1,1,1991,2470,1926,1,972000
25830,35911,6029,25,11228,1,0,2667,2224,1925,1,1485000
25831,35913,6030,5,11228,1,0,2100,1641,1920,1,1150000
25832,35914,6030,7,11228,1,0,1850,1641,1920,1,950000
25833,35915,6030,26,11228,1,0,6000,2808,1899,1,2340000
25834,35916,6039,15,11228,1,0,5000,2565,1915,1,2056000
25835,35918,6177,37,11228,1,0,1014,1600,1950,1,858000
25836,35920,6198,61,11228,1,0,1700,1326,1925,1,820000
25837,35921,6198,161,11228,1,0,1300,1102,1925,1,680000
25838,35922,6199,55,11228,1,0,2000,1632,1920,1,880000
25839,35927,6222,55,11228,1,0,2267,1478,1920,1,892400
25840,35928,6231,44,11228,1,0,2075,1210,1910,1,972500
25841,35929,6232,14,11228,1,0,2000,1408,1930,1,1020000
25842,35932,6233,58,11228,1,0,2267,1561,1925,1,910000
25843,35933,6233,60,11228,1,0,2267,1561,1925,1,945000
25844,35934,6242,31,11228,1,0,2008,1312,1920,1,880000
25845,35935,6243,10,11228,1,0,1300,975,1920,1,750000
25846,35936,6243,18,11228,1,0,1808,1170,1920,1,785000
25847,35937,6243,27,11228,1,0,1300,975,1920,1,600000
25848,35938,6243,28,11228,1,0,1300,975,1920,1,750000
25849,35939,6243,66,11228,1,0,1950,1410,1920,1,990000
25850,35940,6243,163,11228,1,0,1500,1242,1920,1,845000
25851,35941,6244,12,11228,1,0,1600,1310,1925,1,795000
25852,35942,6244,47,11228,1,0,2000,1485,1930,1,890000
25853,35943,6254,1,11228,1,0,1700,1380,1920,1,965000
25854,35944,6254,19,11228,1,0,1775,1196,1920,1,900000
25855,35945,6255,42,11228,1,1,2000,3200,1931,1,1250000
25856,35946,6255,51,11228,1,0,4000,1768,1920,1,1125000
25857,35947,6255,127,11228,1,0,1325,1458,1920,1,720000
25858,35948,6256,52,11228,1,0,1850,1512,1905,1,898000
25859,35949,6266,18,11228,1,0,2000,1248,1920,1,735000
25860,35953,6290,41,11228,1,0,2000,1280,1915,1,848000
25861,35954,6291,41,11228,1,0,4000,2510,1910,1,1470000
25862,35957,6302,5,11228,1,0,2475,1308,1925,1,950000
