,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
53920,77884,5694,46,10312,1,0,9072,1180,1970,1,216000
53921,77886,5694,125,10312,1,0,3720,1600,1935,1,690000
53922,77887,5704,71,10312,1,0,4740,848,1945,1,465000
53923,77888,5704,74,10312,1,0,4740,1120,1955,1,460000
53924,77889,5705,66,10312,1,0,4100,2112,1970,1,585000
53925,77890,5705,75,10312,1,0,6760,1008,1920,1,445000
53926,77891,5709,26,10312,1,0,4000,1058,1965,1,540000
53927,77895,5715,8,10312,1,0,5800,2100,1975,1,800000
53928,77896,5717,143,10312,1,0,1007,1383,1992,1,359500
53929,77897,5718,10,10312,1,0,2480,1400,1993,1,425000
53930,77898,5586,4,10312,2,0,2793,1800,2001,1,535000
53931,77899,5586,5,10312,2,0,2793,1800,2001,1,560000
53932,77900,5590,105,10312,2,0,2500,1200,1999,1,529000
53933,77901,5597,61,10312,2,0,3500,1812,2003,1,805000
53934,77902,5597,63,10312,2,0,4000,2000,2003,1,825000
53935,77903,5599,49,10312,2,0,3850,2150,2006,1,810000
53936,77905,5599,67,10312,2,0,3387,1776,2015,1,280000
53937,77906,5600,54,10312,2,0,2992,2250,1996,1,695000
53938,77907,5601,63,10312,2,0,4000,2288,1975,1,719000
53939,77909,5601,88,10312,2,0,4200,2352,1975,1,652000
53940,77911,5602,23,10312,2,0,3840,2317,1975,1,745000
53941,77912,5602,25,10312,2,0,3840,2317,1975,1,697000
53942,77915,5602,113,10312,2,0,3880,2462,1975,1,635000
53943,77919,5611,12,10312,2,0,4000,2248,1965,1,451000
53944,77920,5612,204,10312,2,0,4199,0,2016,1,677136
53945,77922,5619,174,10312,2,0,3465,2000,1970,1,615000
53946,77923,5621,34,10312,2,0,7599,1344,1930,1,515000
53947,77927,5623,454,10312,2,0,4000,2348,1975,1,735000
53948,77928,5624,2,10312,2,0,4000,2350,1997,1,899000
53949,77929,5625,80,10312,2,0,4600,3064,1987,1,845000
53950,77933,5631,4,10312,2,0,4750,2220,1970,1,723000
53951,77935,5631,40,10312,2,0,4000,2308,1970,1,780000
53952,77936,5633,23,10312,2,0,3863,2326,1970,1,700000
53953,77938,5636,37,10312,2,0,4830,2354,1977,1,35000
53954,77940,5636,44,10312,2,0,4000,2104,1977,1,750000
53955,77941,5636,54,10312,2,0,4000,2104,1977,1,828000
53956,77942,5636,203,10312,2,0,4200,1768,1975,1,527000
53957,77944,5640,16,10312,2,0,4300,1816,1965,1,725000
53958,77946,5640,31,10312,2,0,4242,1720,1965,1,490000
53959,77948,5651,68,10312,2,0,2912,2000,1986,1,390000
53960,77949,5662,16,10312,2,0,3563,1425,2003,1,575000
53961,77952,5669,21,10312,2,0,3854,2000,1980,1,499000
53962,77954,5676,85,10312,2,0,3270,1960,1980,1,614500
53963,77955,5676,102,10312,2,0,4130,2750,1980,1,550000
53964,77957,5676,116,10312,2,0,3100,2044,1980,1,248919
53965,77958,5677,62,10312,2,0,2376,900,1988,1,476000
53966,77959,5677,77,10312,2,0,3008,2080,1980,1,459000
53967,77960,5680,148,10312,2,0,3100,2296,1980,1,545000
53968,77961,5680,328,10312,2,0,4796,2088,1978,1,530000
53969,77962,5680,353,10312,2,0,3936,2088,1978,1,653000
53970,77965,5694,53,10312,2,0,4223,1600,1993,1,565000
53971,77966,5694,56,10312,2,0,2260,1120,1993,1,510000
53972,77967,5695,18,10312,2,0,4000,1900,1975,1,620000
53973,77968,5696,9,10312,2,0,3600,1956,2015,1,787107
53974,77970,5702,1,10312,2,0,6750,1352,1975,1,495000
53975,77972,5702,45,10312,2,0,12350,2660,1975,1,900000
53976,77973,5704,25,10312,2,0,10000,3200,1980,1,915000
53977,77975,5712,39,10312,2,0,4000,2096,2011,1,900000
53978,77977,5715,76,10312,2,0,4100,2406,1984,1,730000
53979,77979,5717,69,10312,2,0,6300,3026,2016,1,972428
53980,77980,5717,70,10312,2,0,6300,3026,2016,1,966319
53981,77981,5717,71,10312,2,0,6300,3026,2016,1,966319
53982,77982,5718,103,10312,2,0,2125,1350,2003,1,550000
53988,77989,5591,59,10312,4,0,4000,2500,1931,2,795000
53989,77991,836,15,10301,1,0,2880,1272,1975,1,520000
53990,77995,837,164,10301,1,0,5580,2358,1965,1,795000
53991,77996,837,304,10301,1,0,15011,1668,1960,1,999000
53992,77998,838,46,10301,1,0,10000,2460,1965,1,995000
53993,77999,838,90,10301,1,0,10000,2010,1965,1,1150000
53994,78000,838,105,10301,1,0,10000,1720,1960,1,925000
53995,78001,838,131,10301,1,0,13656,1618,1965,1,1280000
53996,78002,838,354,10301,1,0,26321,1504,1955,1,950000
53997,78003,838,374,10301,1,0,10933,3801,1985,1,900000
53998,78005,837,93,10301,2,0,5000,2842,1975,1,810000
53999,78006,837,106,10301,2,0,4000,2228,1975,1,35000
54000,78007,837,143,10301,2,0,4876,2440,1970,1,850000
54002,78011,6169,96,10312,1,0,1552,1124,1996,1,309003
54003,78012,5900,39,10312,0,2,8642,1800,1958,4,90000
54004,78013,895,33,10304,1,0,10764,1570,1980,1,1090000
54005,78015,899,40,10304,1,0,8100,1200,1970,1,750000
54006,78016,899,43,10304,1,0,7100,1200,1970,1,741500
54007,78017,3306,56,10304,1,0,4800,1488,1955,1,435000
54008,78018,3321,53,10304,1,0,5000,1838,1910,1,755000
54009,78019,3343,37,10305,1,0,2275,1234,1960,1,425000
54010,78020,3343,90,10305,1,0,2500,2217,2000,1,560000
54011,78021,3345,9,10305,1,0,2275,1400,1990,1,479000
54012,78022,3345,10,10305,1,0,2275,1400,1990,1,509000
54013,78023,3345,40,10305,1,0,5000,1544,1980,1,695000
54014,78024,3530,76,10304,1,0,5600,840,1950,1,390000
54015,78025,3531,17,10304,1,0,2000,1200,2004,1,460000
54016,78026,3531,50,10306,1,0,4000,900,1945,1,180000
54017,78027,3535,27,10306,1,0,2183,1312,1960,1,430000
54018,78028,3535,31,10306,1,0,2265,1312,1960,1,425000
54019,78029,3535,95,10306,1,0,2761,1870,1970,1,470000
54020,78032,3536,157,10305,1,0,5195,880,1955,1,615000
54021,78033,3536,165,10305,1,0,4576,1040,1955,1,153000
54022,78034,3536,170,10305,1,0,4051,1040,1955,1,605000
54023,78035,3538,95,10305,1,0,4500,892,1959,1,559000
54024,78036,3538,204,10305,1,0,3600,880,1960,1,495000
54025,78037,3540,34,10305,1,0,2044,912,1965,1,395000
54026,78039,3552,52,10306,1,0,6250,884,1955,1,207000
54027,78041,3556,67,10306,1,0,2625,1200,1960,1,506000
54028,78042,3557,22,10306,1,0,6000,946,1955,1,475000
54029,78046,3561,46,10306,1,0,5000,1056,1960,1,470000
54030,78047,3561,46,10306,1,0,5000,1056,1960,1,455000
54031,78048,3561,50,10306,1,0,4000,1056,1960,1,470000
54032,78049,3562,61,10306,1,0,5468,912,1960,1,559000
54033,78050,3562,67,10306,1,0,3125,1408,2003,1,587000
54034,78051,3563,28,10306,1,0,6000,2540,1955,1,858000
54035,78052,3565,50,10306,1,0,4000,950,1955,1,35083
54036,78053,3569,18,10306,1,0,4000,2430,1955,1,650000
54037,78054,3571,3,10306,1,0,4000,1290,1930,1,580000
54038,78057,3571,77,10306,1,0,4000,1056,1965,1,280000
54039,78060,3574,50,10306,1,0,6700,1408,1970,1,672500
54040,78061,3574,55,10306,1,0,4000,1648,1955,1,720000
54041,78062,3579,32,10306,1,0,5200,1421,1901,1,220000
54042,78065,3583,42,10306,1,0,2745,1672,1970,1,540000
54043,78066,3587,10,10306,1,0,5155,1008,1965,1,565000
54044,78067,3589,18,10306,1,0,5440,968,1945,1,150000
54045,78068,3589,58,10306,1,0,5125,2250,1960,1,875000
54046,78070,3590,23,10306,1,0,5000,702,1950,1,550000
54047,78071,3590,33,10306,1,0,2500,1344,1977,1,569000
54048,78072,3595,56,10306,1,0,3000,1500,2004,1,653000
54049,78073,3603,7,10306,1,0,2000,1260,1989,1,530000
54050,78074,3608,1,10306,1,0,2213,1314,2002,1,148000
54051,78075,3608,1,10306,1,0,2213,1314,2002,1,148000
54052,78077,3609,45,10306,1,0,3800,800,1950,1,470000
54053,78078,3321,30,10304,2,0,2700,1400,2004,1,600000
54054,78079,3343,63,10305,2,0,3750,1696,1930,1,585000
54055,78080,3531,40,10306,2,0,4200,1857,1955,1,590000
54056,78082,3536,57,10305,2,0,4050,2400,2008,1,885000
54057,78083,3536,119,10305,2,0,3222,1667,2000,1,657500
54058,78084,3552,9,10306,2,0,3737,1494,2009,1,700000
54059,78085,3559,14,10306,2,0,5750,1208,1940,1,656000
54060,78090,3573,28,10306,2,0,4412,1816,2004,1,905000
54061,78091,3578,45,10306,2,0,3069,1800,1989,1,250000
54062,78095,3583,18,10306,2,0,5750,2580,1930,1,525000
54063,78097,3587,56,10306,2,0,3600,1904,1930,1,376600
54064,78099,3591,43,10306,2,0,3800,716,1899,1,419000
54065,78100,3591,99,10306,2,0,2000,1440,1930,1,410000
54066,78101,3604,5,10306,2,0,4000,2040,1925,1,710000
54067,78102,3608,45,10306,2,0,5376,1251,1955,1,750000
54068,78103,3614,28,10306,2,0,4160,2208,1925,1,475000
54130,78176,3603,27,10306,0,3,1800,2292,1990,4,585000
54131,78177,883,27,10304,0,1,16761,9898,2008,4,6150000
54132,78178,3603,38,10306,0,1,5000,1085,1930,4,450000
54134,78181,2915,20,10304,1,0,820,1267,2001,1,410000
54135,78184,3039,16,10305,1,0,7000,1138,1965,1,640000
54136,78185,3040,27,10305,1,0,3748,2600,2007,1,572000
54137,78186,3040,98,10305,1,0,4000,1575,1965,1,655000
54138,78187,3040,206,10305,1,0,5943,1350,1965,1,740000
54139,78188,3041,16,10305,1,0,5123,1931,1970,1,660000
54140,78189,3042,44,10305,1,0,5000,1128,1950,1,665000
54141,78190,3064,31,10305,1,0,3825,1812,1920,1,567200
54142,78192,3065,17,10305,1,0,3520,1158,1955,1,555000
54143,78193,3151,51,10304,1,0,26010,1408,1998,1,462000
54144,78194,3151,58,10304,1,0,2142,1408,1998,1,570000
54145,78195,3153,64,10304,1,0,2635,1008,1930,1,545000
54146,78196,3154,13,10304,1,0,5967,864,1950,1,500000
54147,78197,3155,10,10304,1,0,2267,1344,1960,1,126600
54148,78199,3155,12,10304,1,0,2267,1344,1960,1,483000
54149,78201,3155,46,10304,1,0,5000,988,1950,1,560000
54150,78204,3159,22,10304,1,0,2007,1356,2016,1,572256
54151,78205,3159,23,10304,1,0,2006,0,2016,1,572256
54152,78206,3159,24,10304,1,0,2006,0,2016,1,572256
54153,78207,3159,25,10304,1,0,2006,0,2016,1,572265
54154,78208,3166,14,10305,1,0,2664,1830,2016,1,518175
54155,78209,3166,16,10305,1,0,2723,1830,2016,1,529490
54156,78210,3170,12,10304,1,0,6000,1120,1994,1,395000
54157,78211,3170,48,10304,1,0,4000,832,1940,1,450000
54158,78212,3171,16,10304,1,0,2100,1440,2003,1,570000
54159,78213,3171,52,10304,1,0,3930,1440,2003,1,575000
54160,78214,3171,54,10304,1,0,2040,1440,2003,1,600000
54161,78215,3171,139,10304,1,0,2325,2025,1988,1,480000
54162,78216,3172,4,10304,1,0,2600,1410,1960,1,606000
54163,78217,3172,8,10304,1,0,2600,1410,1960,1,495000
54164,78218,3172,18,10304,1,0,2600,1410,1960,1,610000
54165,78219,3176,22,10304,1,0,5350,625,2016,1,931698
54166,78220,3176,36,10304,1,0,1250,1950,1988,1,430000
54167,78221,3176,66,10304,1,0,1800,1488,1999,1,575000
54168,78222,3176,104,10304,1,0,2130,1488,1999,1,570000
54169,78223,3180,20,10304,1,0,5520,2039,1930,1,580000
54170,78225,3180,23,10304,1,0,5520,0,1960,1,650000
54171,78226,3180,26,10304,1,0,7360,0,1930,1,650000
54172,78227,3184,32,10304,1,0,2016,1292,1960,1,500000
54173,78228,3203,26,10305,1,0,1054,1200,1989,1,440000
54174,78229,3203,36,10305,1,0,1235,1320,1989,1,460000
54175,78230,3206,13,10305,1,0,5000,1584,1955,1,680000
54176,78231,3206,90,10305,1,0,5000,988,1955,1,826500
54177,78233,3207,56,10305,1,0,1875,1584,2004,1,570000
54178,78237,3225,46,10305,1,0,11240,1560,1920,1,875000
54179,78238,3228,94,10305,1,0,4000,1056,1950,1,540000
54180,78241,3233,10,10305,1,0,4800,938,1989,1,835000
54181,78243,3234,1,10305,1,0,7502,1180,1973,1,920000
54182,78244,3234,60,10305,1,0,4000,1072,1970,1,620000
54183,78245,2917,22,10304,2,0,5000,1508,1925,1,525000
54184,78246,3036,22,10305,2,0,3245,2000,1960,1,705000
54185,78248,3041,9,10305,2,0,3920,2592,1965,1,775000
54186,78249,3159,38,10304,2,0,5000,2279,1901,1,550000
54187,78250,3167,23,10304,2,0,4300,1150,1931,1,585000
54188,78253,3207,19,10305,2,0,4000,2672,1975,1,830000
54189,78254,3234,26,10305,2,0,8928,1392,1970,1,475000
54200,78272,3060,77,10305,4,0,6000,2116,1935,2,785000
54201,78274,3162,8,10305,0,2,6515,4200,1970,4,745000
54203,78278,4447,3,10306,1,0,936,960,1986,1,318000
54204,78279,4447,4,10306,1,0,936,960,1986,1,322000
54205,78280,4447,19,10306,1,0,960,864,1986,1,329000
54206,78282,4447,45,10306,1,0,960,576,1986,1,290000
54207,78283,4447,63,10306,1,0,960,576,1986,1,320000
54208,78284,4447,67,10306,1,0,960,576,1986,1,322500
54209,78285,4447,68,10306,1,0,960,576,1986,1,315000
54210,78286,4447,83,10306,1,0,936,576,1986,1,290000
54211,78287,4447,95,10306,1,0,936,864,1986,1,359900
54212,78288,4447,95,10306,1,0,936,864,1986,1,250000
54213,78290,4465,11,10306,1,0,2800,1410,2002,1,485000
54214,78291,4465,20,10306,1,0,2580,1410,2003,1,180000
54215,78292,4466,24,10306,1,0,1410,1250,2002,1,385000
54216,78294,4473,52,10306,1,0,2352,1675,1986,1,545000
54217,78296,4474,88,10306,1,0,2600,1920,1986,1,406377
54218,78297,4474,109,10306,1,0,2704,1872,1986,1,530000
54219,78298,4476,1,10306,1,0,2475,1872,1986,1,572000
54220,78299,4476,46,10306,1,0,2650,1872,1986,1,599000
54221,78300,4477,49,10306,1,0,500,1150,1991,1,329500
54222,78302,4478,43,10306,1,0,4510,1350,1986,1,433000
54223,78303,4478,62,10306,1,0,1485,1350,1986,1,429900
54224,78305,4478,198,10306,1,0,2600,1456,1986,1,410000
54225,78306,4478,246,10306,1,0,3296,1346,1986,1,565000
54226,78307,4478,277,10306,1,0,1484,1099,1986,1,355000
54227,78308,4478,414,10306,1,0,688,2904,1988,1,371589
54228,78310,4478,427,10306,1,0,946,2112,1988,1,363000
54229,78311,4478,437,10306,1,0,946,1176,1988,1,339000
54230,78312,4478,455,10306,1,0,688,1068,1989,1,262900
54231,78313,4478,489,10306,1,0,688,1056,1988,1,290000
54232,78314,4478,492,10306,1,0,688,1050,1988,1,349000
54233,78315,4478,510,10306,1,0,688,1056,1988,1,330000
54234,78316,4478,609,10306,1,0,500,1240,1996,1,335000
54235,78317,4478,612,10306,1,0,500,1240,1996,1,315000
54236,78318,4478,620,10306,1,0,500,1240,1996,1,165000
54237,78321,4500,23,10308,1,0,2578,1248,1983,1,430000
54238,78322,4500,24,10308,1,0,2578,1248,1983,1,475000
54239,78324,4500,117,10308,1,0,3100,1860,1980,1,485000
54240,78325,4500,120,10308,1,0,3100,1860,1980,1,543000
54241,78326,4500,136,10308,1,0,1717,1440,1984,1,430000
54242,78327,4500,138,10308,1,0,2257,1440,1984,1,334620
54243,78328,4500,145,10308,1,0,1600,1440,1984,1,420000
54244,78329,4500,221,10308,1,0,1500,1350,1986,1,420000
54245,78331,4500,398,10308,1,0,3600,2384,1980,1,600000
54246,78334,4509,57,10308,1,0,1536,1440,1985,1,400000
54247,78336,4510,23,10308,1,0,2162,1880,1980,1,460000
54248,78337,4510,27,10308,1,0,1536,1530,1982,1,395000
54249,78338,4510,28,10308,1,0,1536,1530,1982,1,420000
54250,78339,4510,37,10308,1,0,1536,1350,1980,1,390000
54251,78341,4550,125,10308,1,0,3826,2355,1980,1,615000
54252,78343,4568,11,10308,1,0,5250,1716,1975,1,665900
54253,78344,4568,11,10308,1,0,5250,1716,1975,1,225000
54254,78345,4569,3,10308,1,0,4018,1656,1965,1,665000
54255,78346,4569,3,10308,1,0,4018,1656,1965,1,451000
54256,78349,4574,24,10308,1,0,4000,1984,1965,1,615000
54257,78350,4574,39,10308,1,0,4000,1720,1965,1,625000
54258,78353,4575,68,10308,1,0,1600,1318,2007,1,459000
54259,78354,4575,71,10308,1,0,3216,1830,1986,1,510000
54260,78355,4579,46,10308,1,0,2555,1536,1998,1,250000
54261,78357,4580,33,10308,1,0,3400,1080,1970,1,510000
54262,78358,4583,47,10308,1,0,4000,1912,1965,1,525000
54263,78359,4583,86,10308,1,0,2500,1248,1999,1,650000
54264,78360,4583,117,10308,1,0,3000,1925,1978,1,510000
54265,78363,4583,219,10308,1,0,2600,1360,1981,1,525000
54266,78364,4583,223,10308,1,0,3600,1496,1980,1,610000
54267,78365,4583,243,10308,1,0,2625,1360,1981,1,520000
54268,78368,4587,58,10308,1,0,1400,1380,1991,1,398000
54269,78372,4591,42,10308,1,0,5000,840,1950,1,460000
54270,78374,4592,10,10308,1,0,5000,900,1955,1,535000
54271,78376,4596,15,10308,1,0,700,978,1985,1,350000
54272,78377,4596,23,10308,1,0,700,978,1985,1,320000
54273,78378,4597,6,10308,1,0,5000,951,1950,1,365000
54274,78381,4600,24,10308,1,0,5000,1500,1940,1,231000
54275,78383,4606,20,10308,1,0,6000,1088,1925,1,514000
54276,78384,4606,28,10308,1,0,5124,974,1960,1,440000
54277,78385,4607,35,10308,1,0,2438,1540,1994,1,565000
54278,78386,4607,45,10308,1,0,2500,1440,1994,1,527500
54279,78387,4608,27,10308,1,0,2725,1638,1998,1,492000
54280,78389,4610,22,10308,1,0,6622,1288,1960,1,545000
54281,78390,4610,115,10308,1,0,4000,1680,1960,1,575000
54282,78391,4610,205,10308,1,0,2730,1584,1994,1,605000
54283,78393,4613,119,10308,1,0,4713,2245,2005,1,580000
54284,78394,4616,5,10308,1,0,5000,2382,1950,1,806500
54285,78396,4624,204,10308,1,0,6300,1240,1960,1,500000
54286,78400,4633,178,10308,1,0,5100,1318,1965,1,162600
54287,78401,4633,288,10308,1,0,8043,2110,1910,1,675000
54288,78402,4640,35,10308,1,0,2660,944,1991,1,306000
54289,78403,4640,43,10308,1,0,3276,944,1991,1,330000
54290,78405,4640,117,10308,1,0,1170,1327,1990,1,376000
54291,78406,4640,130,10308,1,0,960,1327,1989,1,395000
54292,78407,4645,56,10306,1,0,1208,1816,1998,1,510000
54293,78408,4645,88,10306,1,0,1204,1816,1997,1,505000
54294,78409,4645,114,10306,1,0,2445,1296,1994,1,469700
54295,78411,4645,248,10306,1,0,1656,1260,1994,1,515000
54296,78412,5026,4,10306,1,0,2400,1232,1970,1,465000
54297,78413,5026,84,10306,1,0,2568,1232,1975,1,450000
54298,78414,5027,11,10306,1,0,4950,1232,1965,1,485000
54299,78417,5027,37,10306,1,0,2052,1232,1965,1,485000
54300,78418,5027,38,10306,1,0,2071,1232,1965,1,481650
54301,78419,5027,45,10306,1,0,2376,1232,1965,1,499200
54302,78421,5028,15,10306,1,0,2400,1232,1965,1,460000
54303,78422,5028,20,10306,1,0,2400,1232,1965,1,528000
54304,78423,5030,55,10306,1,0,7350,938,1940,1,649999
54305,78424,5103,54,10306,1,0,2300,1176,1975,1,449000
54306,78425,5103,62,10306,1,0,2500,1176,1975,1,520000
54307,78426,5104,51,10308,1,0,2500,1176,1970,1,438500
54308,78427,5108,30,10308,1,0,2376,1312,1970,1,450000
54309,78428,5110,37,10308,1,0,2400,1176,1965,1,481000
54310,78430,5116,49,10308,1,0,4000,1136,1960,1,385000
54311,78431,5117,71,10308,1,0,4000,1884,1960,1,675000
54312,78432,5118,109,10308,1,0,3300,1744,1965,1,555000
54313,78434,5119,6,10308,1,0,4095,1662,1910,1,495000
54314,78435,5126,44,10308,1,0,6300,1592,1930,1,1135000
54315,78436,5126,82,10308,1,0,5000,1892,1944,1,660000
54316,78439,5128,72,10308,1,0,8475,1204,1960,1,300000
54317,78440,5130,61,10308,1,0,2650,1296,1960,1,415000
54318,78441,5131,4,10308,1,0,2020,1144,1990,1,450000
54319,78442,5131,14,10308,1,0,2048,1144,1990,1,452500
54320,78443,5131,14,10308,1,0,2048,1144,1990,1,452500
54321,78445,5132,2,10308,1,0,2945,1296,1965,1,465000
54322,78447,5132,7,10308,1,0,4200,850,1960,1,105553
54323,78449,5137,16,10308,1,0,8976,2165,1925,1,930000
54324,78456,5145,11,10308,1,0,4950,1432,1899,1,577500
54325,78458,5147,17,10308,1,0,13596,2169,1899,1,780000
54326,78459,5147,47,10308,1,0,13500,1872,1960,1,999900
54327,78460,5150,2,10308,1,0,3750,1512,1975,1,515000
54328,78461,5150,27,10308,1,0,5900,2264,1975,1,585000
54329,78462,5152,63,10308,1,0,3800,1048,1930,1,550000
54330,78463,5153,128,10308,1,0,3960,2500,2000,1,799000
54331,78467,5156,92,10308,1,0,5037,1760,1988,1,635000
54332,78468,5190,62,10308,1,0,2031,1342,1989,1,515000
54333,78469,5195,38,10308,1,0,2800,1204,1975,1,415000
54334,78470,5195,75,10308,1,0,5360,1650,1965,1,630000
54335,78471,5195,75,10308,1,0,5360,1650,1965,1,582500
54336,78472,5195,77,10308,1,0,6650,2520,1965,1,790000
54337,78474,5195,107,10308,1,0,2200,1200,2004,1,485000
54338,78475,5203,25,10308,1,0,3750,1420,1970,1,445000
54339,78476,5204,14,10308,1,0,2551,0,2016,1,550452
54340,78477,5204,15,10308,1,0,2550,0,2016,1,548836
54341,78478,5205,32,10308,1,0,2820,1386,1983,1,540000
54342,78479,5205,35,10308,1,0,1280,1370,1990,1,418000
54343,78480,5206,7,10308,1,0,2604,1350,2001,1,405000
54344,78481,5208,45,10308,1,0,4500,1217,1950,1,447500
54345,78482,5212,24,10308,1,0,3040,603,1940,1,265000
54346,78483,5212,74,10308,1,0,1860,1024,1960,1,106000
54347,78484,5212,74,10308,1,0,1860,1024,1960,1,148330
54348,78485,5212,74,10308,1,0,1860,1024,1960,1,333766
54349,78486,5217,5,10308,1,0,1533,1020,1991,1,86000
54350,78487,5218,1,10308,1,0,5184,880,1960,1,570000
54351,78488,5226,4,10308,1,0,3610,1296,1955,1,567500
54352,78489,5226,4,10308,1,0,3610,1296,1955,1,567500
54353,78490,5227,4,10308,1,0,4000,1340,1930,1,495000
54354,78491,5228,4,10308,1,0,4500,960,1950,1,350000
54355,78492,5230,5,10312,1,0,1900,1222,2008,1,515000
54356,78493,5231,30,10312,1,0,2375,1600,2001,1,325000
54357,78494,5233,25,10312,1,0,3990,2100,1944,1,580000
54358,78495,5233,38,10308,1,0,6050,1196,1955,1,510000
54359,78497,5235,30,10312,1,0,4000,912,1950,1,545000
54360,78498,5235,48,10312,1,0,3800,1000,1950,1,775000
54361,78500,5237,14,10312,1,0,2800,1440,1965,1,283334
54362,78501,5237,48,10312,1,0,5100,1440,1965,1,535000
54363,78502,5237,51,10312,1,0,2800,1440,1965,1,510000
54364,78503,5237,67,10312,1,0,2800,1440,1965,1,545000
54365,78504,5238,43,10312,1,0,3763,1200,2005,1,635000
54366,78505,5240,34,10312,1,0,2805,1800,2001,1,745000
54367,78507,5241,10,10312,1,0,4000,1040,1960,1,569000
54368,78508,5241,58,10312,1,0,5000,1040,1955,1,582000
54369,78509,5242,40,10312,1,0,4620,1100,1960,1,560000
54370,78511,5242,65,10312,1,0,4410,1092,1960,1,50000
54371,78512,5243,9,10312,1,0,6471,1300,1950,1,395000
54372,78513,5244,5,10308,1,0,2494,1024,1965,1,440000
54373,78514,5245,25,10308,1,0,4000,2347,2015,1,794235
54374,78515,5245,27,10308,1,0,4000,2347,2015,1,794235
54375,78516,5246,24,10308,1,0,2500,1152,1987,1,463000
54376,78518,5247,27,10308,1,0,5010,1964,1944,1,830000
54377,78519,5247,38,10308,1,0,3160,1824,1930,1,639999
54378,78520,5248,9,10308,1,0,5400,1320,1935,1,440000
54379,78521,5248,15,10308,1,0,5400,1508,1935,1,286667
54380,78522,5249,15,10308,1,0,3600,850,1925,1,427500
54381,78523,5250,48,10308,1,0,4200,1599,1950,1,560000
54382,78525,5251,35,10308,1,0,6000,1933,1940,1,659600
54383,78526,5252,64,10308,1,0,3800,1022,1930,1,387000
54384,78527,5253,13,10308,1,0,2750,1400,1975,1,502500
54385,78528,5253,70,10308,1,0,5250,2338,1993,1,665000
54386,78529,5254,70,10308,1,0,3800,1176,1920,1,484000
54387,78530,5255,45,10308,1,0,3800,672,1950,1,460000
54388,78532,5255,63,10308,1,0,7600,1080,1960,1,730000
54389,78533,5256,16,10308,1,0,3800,528,1970,1,655000
54390,78534,5256,35,10308,1,0,3800,1911,1966,1,550000
54391,78535,5256,37,10308,1,0,3800,912,1960,1,535000
54392,78536,5256,63,10308,1,0,3800,924,1950,1,515000
54393,78538,5258,50,10308,1,0,4750,1138,1935,1,340000
54394,78541,5260,39,10308,1,0,4750,1471,1955,1,660000
54395,78544,5263,1,10308,1,0,5700,2250,1955,1,948000
54396,78545,5263,30,10308,1,0,3600,912,1950,1,469000
54397,78548,5264,42,10312,1,0,3325,2000,2006,1,720000
54398,78550,5266,18,10312,1,0,3334,0,1955,1,529000
54399,78551,5266,68,10312,1,0,5000,1563,1945,1,605000
54400,78553,5268,60,10312,1,0,12144,1570,1955,1,1200000
54401,78554,5268,140,10312,1,0,2700,1292,1970,1,467000
54402,78556,5268,200,10312,1,0,2641,1920,1990,1,569000
54403,78558,5269,22,10308,1,0,4000,2250,2003,1,790000
54404,78561,5274,12,10308,1,0,2500,1184,1960,1,350000
54405,78562,5275,13,10308,1,0,6120,1008,1930,1,499999
54406,78563,5275,13,10308,1,0,6120,1008,1930,1,340000
54407,78564,5275,22,10308,1,0,6720,1050,1966,1,510000
54408,78565,5275,24,10308,1,0,6720,963,1920,1,350000
54409,78566,5275,37,10308,1,0,3042,600,1920,1,418500
54410,78567,5277,45,10308,1,0,4000,1120,1935,1,400000
54411,78568,5277,47,10308,1,0,4000,648,1920,1,300000
54412,78570,5279,8,10308,1,0,2000,1104,1965,1,395000
54413,78571,5279,13,10308,1,0,6000,1512,1945,1,495000
54414,78572,5280,35,10308,1,0,4000,1248,1925,1,390000
54415,78573,5281,7,10308,1,0,3000,1280,1965,1,475000
54416,78574,5281,12,10308,1,0,4000,1840,1945,1,760000
54417,78575,5281,14,10308,1,0,3000,920,1930,1,419000
54418,78576,5283,10,10308,1,0,3600,1210,1915,1,545000
54419,78577,5283,18,10308,1,0,5400,780,1955,1,430000
54420,78578,5284,32,10312,1,0,2500,1230,1960,1,520000
54421,78579,5284,33,10312,1,0,2500,1230,1960,1,475000
54422,78582,5287,32,10312,1,0,2080,1242,1995,1,468000
54423,78583,5287,48,10312,1,0,4600,2064,1960,1,780000
54424,78585,5287,55,10312,1,0,6175,970,1960,1,525000
54425,78586,5290,29,10312,1,0,4750,2147,1955,1,765000
54426,78587,5290,41,10312,1,0,3015,1680,1997,1,70000
54427,78588,5292,19,10312,1,0,3600,1875,1955,1,739900
54428,78595,5294,54,10312,1,0,2862,1080,1960,1,470000
54429,78597,5296,56,10312,1,0,5000,1600,1944,1,490000
54430,78600,5298,44,10308,1,0,3240,744,1925,1,243360
54431,78601,5298,49,10308,1,0,3690,1980,1925,1,578000
54432,78602,5299,40,10308,1,0,3206,1660,2005,1,609000
54433,78604,5299,70,10308,1,0,2052,1660,2005,1,540000
54434,78605,5299,73,10308,1,0,3518,1260,2005,1,525000
54435,78607,5306,51,10308,1,0,3375,740,1930,1,153700
